County,Year,Deaths,Population,numberOfDeaths,percentageOfDeaths
Berkeley,2012,27,107098,896,3.013392857
Boone,2012,16,24478,281,5.693950178
Cabell,2012,24,96974,1079,2.224281742
Fayette,2012,21,45869,640,3.28125
Harrison,2012,14,69141,834,1.678657074
Jefferson,2012,10,54504,449,2.227171492
Kanawha,2012,53,192179,2418,2.191894127
Logan,2012,14,36168,515,2.718446602
McDowell,2012,13,21326,399,3.258145363
Mercer,2012,34,62523,912,3.728070175
Mingo,2012,18,26103,349,5.157593123
Nicholas,2012,11,26229,356,3.08988764
Raleigh,2012,54,79021,1071,5.042016807
Wayne,2012,10,41649,459,2.178649237
Wood,2012,13,86701,1007,1.290963257
Wyoming,2012,21,23273,351,5.982905983
Barbour,2008,-99999,-99999,-99999,-99999
Braxton,2008,-99999,-99999,-99999,-99999
Brooke,2008,-99999,-99999,-99999,-99999
Calhoun,2008,-99999,-99999,-99999,-99999
Clay,2008,-99999,-99999,-99999,-99999
Doddridge,2008,-99999,-99999,-99999,-99999
Gilmer,2008,-99999,-99999,-99999,-99999
Grant,2008,-99999,-99999,-99999,-99999
Greenbrier,2008,-99999,-99999,-99999,-99999
Hampshire,2008,-99999,-99999,-99999,-99999
Hancock,2008,-99999,-99999,-99999,-99999
Hardy,2008,-99999,-99999,-99999,-99999
Jackson,2008,-99999,-99999,-99999,-99999
Lewis,2008,-99999,-99999,-99999,-99999
Lincoln,2008,-99999,-99999,-99999,-99999
Marion,2008,-99999,-99999,-99999,-99999
Marshall,2008,-99999,-99999,-99999,-99999
Mason,2008,-99999,-99999,-99999,-99999
Mineral,2008,-99999,-99999,-99999,-99999
Monroe,2008,-99999,-99999,-99999,-99999
Morgan,2008,-99999,-99999,-99999,-99999
Ohio,2008,-99999,-99999,-99999,-99999
Pendleton,2008,-99999,-99999,-99999,-99999
Pleasants,2008,-99999,-99999,-99999,-99999
Pocahontas,2008,-99999,-99999,-99999,-99999
Preston,2008,-99999,-99999,-99999,-99999
Putnam,2008,-99999,-99999,-99999,-99999
Randolph,2008,-99999,-99999,-99999,-99999
Ritchie,2008,-99999,-99999,-99999,-99999
Roane,2008,-99999,-99999,-99999,-99999
Summers,2008,-99999,-99999,-99999,-99999
Taylor,2008,-99999,-99999,-99999,-99999
Tucker,2008,-99999,-99999,-99999,-99999
Tyler,2008,-99999,-99999,-99999,-99999
Upshur,2008,-99999,-99999,-99999,-99999
Webster,2008,-99999,-99999,-99999,-99999
Wetzel,2008,-99999,-99999,-99999,-99999
Wirt,2008,-99999,-99999,-99999,-99999
Monongalia,2008,-99999,-99999,-99999,-99999
